Angle,Value
0,600
0.37525355,508.0462162
1.502141086,236.2190322
2.206445797,131.9920429
3.051611449,83.36711058
4.037638044,52.65525839
6.150552175,28.24467415
10.09465855,12.99911309
14.03876493,8.126924212
19.53234167,5.238925598
27.70227631,3.112305087
34.32274059,2.177079422
40.94320487,1.522882454
47.14108632,1.065267048
53.90241154,0.75280954
60.38201487,0.542976155
67.00247915,0.399710377
73.48208249,0.294245676
80.80685148,0.216608131
88.55420329,0.164415575
94.18864097,0.143977394
101.6542709,0.121034065
107.5704305,0.110407104
114.4726166,0.10174684
119.8253324,0.099690072
126.1640748,0.09767488
131.3759297,0.10491183
138.1372549,0.136114533
146.0254677,0.230293575
148.8426865,0.265683741
152.6459319,0.276759809
158.4212306,0.282469815
164.9008339,0.319290633
170.5352716,0.364615245
175.4654046,0.429325814
177.7896101,0.485289769
179.8320938,0.589192007
180,0.59