wl,value
0.310491207,1.875496815
0.337780473,2.359195158
0.349909036,1.9350871
0.36810188,2.358460835
0.386294724,1.994750817
0.422680412,2.962588096
0.446937538,3.204180254
0.459066101,3.56715595
0.492419648,3.626893099
0.507580352,4.171430075
0.513644633,5.261091485
0.537901759,9.135377892
0.553062462,9.619369963
0.572771377,8.10527005
0.58641601,6.71240681
0.678896301,3.743466823
0.692540934,5.014579365
0.722862341,24.75148379
0.748635537,58.1716467
0.757731959,63.49937797
0.775924803,68.2214399
0.809278351,69.91588946
0.828987265,70.27868157
0.871437235,70.39874333
0.910855064,70.33724381
0.941176471,68.94397669
0.953305033,67.12733583
0.974530018,65.67374411
0.989690722,65.79446676
1.018496058,67.67066118
1.047301395,69.42576579
1.077622802,69.78830089
1.101879927,69.42444401
1.129169193,67.84961561
1.1594906,58.76714567
1.183747726,57.31348051
1.211036992,57.13118491
1.259551243,59.18853673
1.280776228,59.006388
1.312613705,55.97837175
1.345967253,47.19855289
1.371740449,41.56725264
1.406610067,19.77024268
1.417222559,16.86383026
1.438447544,14.44152007
1.456640388,14.07781005
1.471801092,14.56180213
1.491510006,16.55930665
1.511218921,19.52552965
1.585506367,29.33200503
1.671922377,34.59731887
1.735597332,31.38689687
1.778047301,28.35862361
1.835657975,27.87286916
1.896300788,7.043953495
1.920557914,4.258300447
1.94633111,4.136586464
2.023650697,8.009587806
2.141904184,14.78775321
2.223771983,16.60211766
2.305639782,12.60417132
2.42995755,6.909939608
2.511825349,4.365070963
2.617950273,3.393782368
2.711946634,0.606440377